Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta
11.306165087454373,11.276550987090904,10.763157883407205,12.085352990426394,11.44631577742493,11.338607582976152,12.69077566803902,11.408421040622716,11.391623024720811,11.36477986230107
11.893639195105694,11.851619632338956,11.362303653023766,12.710221272170472,11.97077243009314,11.889121326475816,13.256008345605007,11.94136124404046,12.030366479549354,11.915537005301838
12.50364202653107,12.426791264354318,11.906347542241054,13.174139715146882,12.574401651847657,12.430801235763994,13.81685742578891,12.494264846199933,12.54932501292905,12.508826570603503
12.92717947392084,12.880245636765355,12.34666665400342,13.575539554393073,12.946666653388034,12.866666653470086,14.247179472566996,12.950668023688934,12.97441145038443,12.964176035860618
13.350505037019692,13.31552418012548,12.77575756285277,13.95546557291957,13.33333331986532,13.269696956293236,14.629292914515863,13.377530350832458,13.372983857486911,13.389112889728716
13.711442772426423,13.721946361745832,13.173134315250612,14.368893305713964,13.723383070922006,13.68159202618747,15.00696515919705,13.76370885965732,13.784508427224916,13.774577940640937
14.096172704517986,14.086105661363888,13.581943068123708,14.766961637397284,14.11274508420319,14.081452390499065,15.391176455498847,14.121927223085615,14.14774949692001,14.16846227799367
14.480657626227602,14.431599215383814,13.984526098660998,15.145348822533576,14.481660217681794,14.461315266478415,15.749999984797295,14.538759675834534,14.513487461933057,14.541505777469588
14.864761890604989,14.780834900587442,14.321904748264853,15.502862580627038,14.836501887037544,14.844761890624037,16.05323192390377,14.907442733866942,14.89468689288929,14.884980974443932
15.223264526056974,15.129906527915974,14.66791743464548,15.796052616733032,15.174157289162771,15.191369591752936,16.35486889854413,15.230263143580578,15.229906527822516,15.261235940766632
15.56931606694148,15.435543263871503,15.00924213030569,16.111111096193415,15.521217697858654,15.536968562350305,16.63929887763902,15.54351850412637,15.566298328207829,15.610701092610054
15.91438978514172,15.747731383169024,15.334244066180103,16.41058392663268,15.869090894664462,15.830601078478503,16.945454530049584,15.839416043942135,15.872050802293964,15.920909076435535
16.21255603927125,16.036639842683968,15.619730927695308,16.68104221322458,16.20948969005417,16.152466353226487,17.232766322978723,16.173405196609696,16.17158175498518,16.249999985439068
16.492049455395716,16.328345056048992,15.886925781018617,16.948672551372855,16.505290990736075,16.428445215169216,17.507936492497407,16.457522109329624,16.461267591143248,16.567137794551996
16.792863344827794,16.61405028914653,16.204525660396406,17.241499549048385,16.7584708803141,16.704090498952052,17.782797551882886,16.75762858172831,16.767562864902374,16.818973005379483
17.043701784881144,16.87702816662935,16.485861168392578,17.499570800429552,17.0119760333516,16.939160225416312,18.03165096832194,17.00686693819153,16.99743807258972,17.09940015672716
17.281012643644715,17.114381819079576,16.75611812931973,17.7339526877247,17.253580440392938,17.194092812494436,18.26958717921686,17.24239863408581,17.234650952704246,17.34430378283181
17.530340800057903,17.32725764927319,17.02909391768155,17.991687433090863,17.499585047718185,17.443890259813887,18.51618255724798,17.481296743573317,17.461474716270526,17.581047366931795
17.758394743850616,17.53996735926593,17.253682473605824,18.25061423566698,17.705882338475586,17.65356263910437,18.725490180779826,17.733824719300713,17.67047306878428,17.79214401162672
17.94435482423842,17.743775086149576,17.46054748996735,18.468548372202783,17.894694519377254,17.83951611464555,18.918006415660766,17.95725805003447,17.888353399286462,17.980676314025217
18.14694200306041,17.986550618681523,17.650277543497,18.66957901614807,18.107680112345463,18.034154076223864,19.13301661192952,18.164416188908326,18.094145555305264,18.17274166547326
18.326291065472383,18.16666665251817,17.83984373606262,18.856807496982157,18.32995318382999,18.25039122202629,19.31981277744164,18.35758996998624,18.30295948730299,18.341653651839582
18.498459153699184,18.34329500510092,18.039230755354435,19.057781187166576,18.51920121465499,18.40755006286013,19.45970835037628,18.560092435623964,18.48275860652662,18.487336900623685
18.669954462314145,18.476621403863785,18.240151501333216,19.23368739056625,18.686081680267712,18.58194232277546,19.613293036545848,18.73672229230901,18.627450966344306,18.64274923063236
18.839312392496776,18.632516689953587,18.40566739865349,19.36920775831897,18.851079658338733,18.741405068205225,19.763568758540096,18.907324350592432,18.75798068392132,18.800743480445544
18.986019117743915,18.777940088547886,18.53778428573897,19.535687991511637,18.98827837436756,18.87417217154218,19.89100218003584,19.069168492222836,18.87509129373624,18.917337220982198
19.12889209331724,18.9094176715245,18.716245473851085,19.661115119724027,19.136986287572466,18.989138291825387,19.99568033117661,19.19188992093273,18.98634074839228,19.069114457113667
19.255880242868223,19.04317054561701,18.840796006509738,19.775481097807923,19.269694805344432,19.119743393357272,20.133238823434983,19.312900912820453,19.127388521495124,19.192062353513773
19.370266466079755,19.16713090587247,18.96363635037508,19.85694248256876,19.355446913857925,19.239831683562528,20.255230111398024,19.375175301980946,19.22353759106996,19.299860516527293
19.48102138062041,19.27827277636856,19.06813488020087,19.95169080748676,19.46048108628145,19.326432008746423,20.33630746716794,19.464458233633916,19.32145303679133,19.38778310268512
19.56657607366401,19.394736829018395,19.14363142334442,20.04415759507869,19.583897145071788,19.41576085637516,20.422972959173663,19.56317933453588,19.416329271648895,19.47162160846512
19.66310159113429,19.478751647092466,19.213999987190665,20.110294104204343,19.67088606284418,19.50334223295231,20.520292734184768,19.66042779434463,19.507968114536546,19.567154242309076
19.744736829115304,19.5758169806694,19.315616785225973,20.17960524988184,19.75853017076212,19.61118419762422,20.620576657522555,19.75657893437067,19.594771229023024,19.662958102314818
19.80970872504226,19.63472667547606,19.413169774426617,20.227831702117907,19.81471916086848,19.68090613612886,20.681495795821085,19.798705488803424,19.63601284910867,19.72569219592679
19.873885337659942,19.708860747019703,19.48475221125492,20.2980891590458,19.911689949230183,19.74394903201022,20.73032993608481,19.8662420255629,19.708860747019703,19.78136880875705
19.946708451444067,19.76323986307586,19.562851770129548,20.352978043665843,19.988742951851943,19.79811910984444,20.78825732617848,19.92288400004835,19.77009344562611,19.83281346236256
19.99383095620368,19.802696066297365,19.623001217944037,20.388648969531985,20.014760135292278,19.85194323266382,20.800982788205783,19.982726699578823,19.78676469375811,19.879141092098685
20.051001809319366,19.843279071824423,19.676950986281334,20.433515470289304,20.052631566816316,19.896174851307723,20.83202415659696,20.029751050376596,19.813140434109016,19.932407954174767
20.081839892424227,19.88078290635778,19.69821427398916,20.47252089577508,20.09345236899199,19.930704886540795,20.88347204465905,20.08721623650704,19.853499395104684,19.97446554633345
20.11346265719373,19.890898471475555,19.74868188649755,20.494415037922156,20.12009371990621,19.970017624944138,20.89941519245648,20.122280999340223,19.88156358233281,20.002920549063717
20.1377314698277,19.916188277889677,19.79296423310671,20.51736109923764,20.152249123326268,20.01041665508656,20.904487905118245,20.15219906241192,19.907003432889205,20.026436770099743
20.150911150255745,19.92768360456063,19.825766163549503,20.55125283567696,20.15323494883471,20.025626412286087,20.92185729279623,20.174829145686317,19.928248576311724,20.05656107462864
20.17376680483533,19.932184535890947,19.830820759446777,20.559977566950685,20.145728631967767,20.059977567230952,20.911420601163552,20.20123317253294,19.95386324627356,20.0601001557818
20.18257031429533,19.94256016414521,19.858791197879786,20.56205183642468,20.14999998892857,20.0921125096017,20.8865131464438,20.21345834516632,19.980306334802894,20.08598027377548
20.164948442666876,19.96068927304217,19.879394256420014,20.558871394162303,20.17252567865196,20.10363536619445,20.871019956356708,20.23385782949872,19.991922444807795,20.064690016137632
